Name,,Height,Weight,BMI,Age,,number of samples ,Average of height,Average of weight,Average of  Age,Average of BMI,
Aerial Powers,,183,71,21.20099137,23,,10,179.8888889,,,,
Alana Beard,,185,73,21.32943755,35,,30,185.137931,,,,
Alex Bentley,,170,69,23.87543253,26,,50,185.6326531,,,,
Alex Montgomery,,185,84,24.54346238,28,,70,185.7971014,,,,
Alexis Jones,,175,78,25.46938776,23,,90,185.247191,,,,
Alexis Peterson,,170,63,21.79930796,22,,110,185.0733945,,,,
Alexis Prince,,188,81,22.91760978,23,,130,184.5426357,,,,
Allie Quigley,,178,64,20.19946976,31,,144,184.5664336,,,,
Allisha Gray,,185,76,22.20598977,24,,,,,,,
Allison Hightower,,178,77,24.30248706,29,,,,,,,
Alysha Clark,,180,76,23.45679012,30,,,,,,,
Alyssa Thomas,,188,84,23.76641014,24,,,,,,,
Amanda Zahui B.,,196,113,29.41482716,24,,,,,,,
Amber Harris,,196,88,22.90712203,29,,,,,,,
Aneika Henry,,193,87,23.35633171,31,,,,,,,
Angel Robinson,,198,88,22.44668911,21,,,,,,,
Asia Taylor,,185,76,22.20598977,26,,,,,,,
Bashaara Graves,,188,91,25.74694432,23,,,,,,,
Breanna Lewis,,196,93,24.20866306,23,,,,,,,
Breanna Stewart,,193,77,20.67169588,22,,,,,,,
Bria Hartley,,173,66,22.05219018,24,,,,,,,
Bria Holmes,,185,77,22.49817385,23,,,,,,,
Briann January,,173,65,21.71806609,29,,,,,,,
Brionna Jones,,191,104,28.50799046,21,,,,,,,
Brittany Boyd,,175,71,23.18367347,23,,,,,,,
Brittney Griner,,206,93,21.91535489,26,,,,,,,
Brittney Sykes,,175,66,21.55102041,23,,,,,,,
Camille Little,,188,82,23.20054323,32,,,,,,,
Candace Parker,,193,79,21.20862305,31,,,,,,,
Candice Dupree,,188,81,22.91760978,33,,,,,,,
Cappie Pondexter,,175,73,23.83673469,34,,,,,,,
Carolyn Swords,,198,95,24.2322212,28,,,,,,,
Cayla George,,193,87,23.35633171,30,,,,,,,
Chelsea Gray,,180,77,23.7654321,25,,,,,,,
Cheyenne Parker,,193,86,23.08786813,25,,,,,,,
Clarissa dos Santos,,185,89,26.00438276,28,,,,,,,
Courtney Paris,,193,113,30.33638487,29,,,,,,,
Courtney Vandersloot,,173,66,22.05219018,28,,,,,,,
Courtney Williams,,173,62,20.71569381,22,,,,,,,
